sample,bin_size,PC_pair,TH,RMSE
sample_1_real_1,0.1,"1,2",-1,0.7898530934296402
sample_1_real_1,0.1,"1,3",-1,0.8024670741008572
sample_1_real_1,0.1,"1,4",-1,0.8316592711813554
sample_1_real_1,0.1,"1,5",-1,0.8066969661284052
sample_1_real_1,0.1,"1,6",-1,0.7984568780640393
sample_1_real_1,0.1,"2,3",-1,0.7723695011765485
sample_1_real_1,0.1,"2,4",-1,0.8216155985271122
sample_1_real_1,0.1,"2,5",-1,0.821976072597982
sample_1_real_1,0.1,"2,6",-1,0.8220202128458715
sample_1_real_1,0.1,"3,4",-1,0.79210357430425
sample_1_real_1,0.1,"3,5",-1,0.8922553052115532
sample_1_real_1,0.1,"3,6",-1,0.8474642734170266
sample_1_real_1,0.1,"4,5",-1,0.7889300405138516
sample_1_real_1,0.1,"4,6",-1,0.7653690184154706
sample_1_real_1,0.1,"5,6",-1,0.8429708235736781
sample_1_real_1,0.2,"1,2",-1,0.7802949683051926
sample_1_real_1,0.2,"1,3",-1,0.8251402755245129
sample_1_real_1,0.2,"1,4",-1,0.8232735456380119
sample_1_real_1,0.2,"1,5",-1,0.8040041087877882
sample_1_real_1,0.2,"1,6",-1,0.8073930708426877
sample_1_real_1,0.2,"2,3",-1,0.7936301265764307
sample_1_real_1,0.2,"2,4",-1,0.8394233868030492
sample_1_real_1,0.2,"2,5",-1,0.8014562901167958
sample_1_real_1,0.2,"2,6",-1,0.7864545404235818
sample_1_real_1,0.2,"3,4",-1,0.8050376754828833
sample_1_real_1,0.2,"3,5",-1,0.850457524496515
sample_1_real_1,0.2,"3,6",-1,0.8518871366266116
sample_1_real_1,0.2,"4,5",-1,0.7891674637406348
sample_1_real_1,0.2,"4,6",-1,0.7779486013971062
sample_1_real_1,0.2,"5,6",-1,0.8686728024928274
sample_1_real_1,0.3,"1,2",-1,0.8000177476407351
sample_1_real_1,0.3,"1,3",-1,0.8153478673483533
sample_1_real_1,0.3,"1,4",-1,0.8044320581347494
sample_1_real_1,0.3,"1,5",-1,0.7784035400143924
sample_1_real_1,0.3,"1,6",-1,0.7924706443207278
sample_1_real_1,0.3,"2,3",-1,0.8298828083027925
sample_1_real_1,0.3,"2,4",-1,0.755793027084192
sample_1_real_1,0.3,"2,5",-1,0.8234154384883903
sample_1_real_1,0.3,"2,6",-1,0.8247064887312348
sample_1_real_1,0.3,"3,4",-1,0.8107416111723802
sample_1_real_1,0.3,"3,5",-1,0.8738836410303699
sample_1_real_1,0.3,"3,6",-1,0.8684499534582281
sample_1_real_1,0.3,"4,5",-1,0.7501475275353303
sample_1_real_1,0.3,"4,6",-1,0.7895917820263699
sample_1_real_1,0.3,"5,6",-1,0.8145655867893128
sample_1_real_1,0.4,"1,2",-1,0.8002570188555613
sample_1_real_1,0.4,"1,3",-1,0.8045033871332868
sample_1_real_1,0.4,"1,4",-1,0.7963996494947261
sample_1_real_1,0.4,"1,5",-1,0.7796624984614259
sample_1_real_1,0.4,"1,6",-1,0.7946043553945727
sample_1_real_1,0.4,"2,3",-1,0.8315557855665247
sample_1_real_1,0.4,"2,4",-1,0.7507399128317445
sample_1_real_1,0.4,"2,5",-1,0.8180383388233634
sample_1_real_1,0.4,"2,6",-1,0.8339940199987366
sample_1_real_1,0.4,"3,4",-1,0.8058694735572306
sample_1_real_1,0.4,"3,5",-1,0.8737176364249114
sample_1_real_1,0.4,"3,6",-1,0.8513060918720602
sample_1_real_1,0.4,"4,5",-1,0.7414311844291792
sample_1_real_1,0.4,"4,6",-1,0.813375111763574
sample_1_real_1,0.4,"5,6",-1,0.8223282627818734
sample_1_real_1,0.5,"1,2",-1,0.7979343219377185
sample_1_real_1,0.5,"1,3",-1,0.8064503987811287
sample_1_real_1,0.5,"1,4",-1,0.7865113594711006
sample_1_real_1,0.5,"1,5",-1,0.7674338263733651
