sample,bin_size,PC_pair,TH,RMSE
sample_1_real_1,0.1,"1,2",-1,0.8352831829925699
sample_1_real_1,0.1,"1,3",-1,0.7687999363717409
sample_1_real_1,0.1,"1,4",-1,0.7819636050976881
sample_1_real_1,0.1,"1,5",-1,0.7843248327825005
sample_1_real_1,0.1,"1,6",-1,0.7987896758363524
sample_1_real_1,0.1,"2,3",-1,0.7948970266745967
sample_1_real_1,0.1,"2,4",-1,0.8012190432709854
sample_1_real_1,0.1,"2,5",-1,0.8123850729702343
sample_1_real_1,0.1,"2,6",-1,0.8028231857871292
sample_1_real_1,0.1,"3,4",-1,0.8146784855129499
sample_1_real_1,0.1,"3,5",-1,0.8424765767745352
sample_1_real_1,0.1,"3,6",-1,0.8626563610165435
sample_1_real_1,0.1,"4,5",-1,0.8082118555033759
sample_1_real_1,0.1,"4,6",-1,0.8533707622290141
sample_1_real_1,0.1,"5,6",-1,0.8119904126671594
sample_1_real_1,0.2,"1,2",-1,0.7646284051099446
sample_1_real_1,0.2,"1,3",-1,0.7686014666157951
sample_1_real_1,0.2,"1,4",-1,0.7589592549360564
sample_1_real_1,0.2,"1,5",-1,0.7610301914833837
sample_1_real_1,0.2,"1,6",-1,0.7764705802683454
sample_1_real_1,0.2,"2,3",-1,0.884007105672902
sample_1_real_1,0.2,"2,4",-1,0.7452782492858653
sample_1_real_1,0.2,"2,5",-1,0.8168351107773131
sample_1_real_1,0.2,"2,6",-1,0.8397397493357633
sample_1_real_1,0.2,"3,4",-1,0.8228849852260396
sample_1_real_1,0.2,"3,5",-1,0.8407263125573927
sample_1_real_1,0.2,"3,6",-1,0.856187316829999
sample_1_real_1,0.2,"4,5",-1,0.8156529339525352
sample_1_real_1,0.2,"4,6",-1,0.8417794873992037
sample_1_real_1,0.2,"5,6",-1,0.8203819125126087
sample_1_real_1,0.3,"1,2",-1,0.7610506820591809
sample_1_real_1,0.3,"1,3",-1,0.7669317393185675
sample_1_real_1,0.3,"1,4",-1,0.7721665225640506
sample_1_real_1,0.3,"1,5",-1,0.7675968162909332
sample_1_real_1,0.3,"1,6",-1,0.7826174282228151
sample_1_real_1,0.3,"2,3",-1,0.886588496681025
sample_1_real_1,0.3,"2,4",-1,0.742813269243214
sample_1_real_1,0.3,"2,5",-1,0.821178513248872
sample_1_real_1,0.3,"2,6",-1,0.8297072866886621
sample_1_real_1,0.3,"3,4",-1,0.8342671659485589
sample_1_real_1,0.3,"3,5",-1,0.8472406313620489
sample_1_real_1,0.3,"3,6",-1,0.85159665640751
sample_1_real_1,0.3,"4,5",-1,0.7869349318758377
sample_1_real_1,0.3,"4,6",-1,0.8324438236185322
sample_1_real_1,0.3,"5,6",-1,0.8219668731591245
sample_1_real_1,0.4,"1,2",-1,0.7531832530858139
sample_1_real_1,0.4,"1,3",-1,0.7704130954554217
sample_1_real_1,0.4,"1,4",-1,0.7635402762908542
sample_1_real_1,0.4,"1,5",-1,0.7572744304425234
sample_1_real_1,0.4,"1,6",-1,0.7636528248747078
sample_1_real_1,0.4,"2,3",-1,0.88550003072779
sample_1_real_1,0.4,"2,4",-1,0.7721757328546389
sample_1_real_1,0.4,"2,5",-1,0.818772145434131
sample_1_real_1,0.4,"2,6",-1,0.8016403928721061
sample_1_real_1,0.4,"3,4",-1,0.8615297547872983
sample_1_real_1,0.4,"3,5",-1,0.8271452150986001
sample_1_real_1,0.4,"3,6",-1,0.8477338436954293
sample_1_real_1,0.4,"4,5",-1,0.7834222185966802
sample_1_real_1,0.4,"4,6",-1,0.7587733506522973
sample_1_real_1,0.4,"5,6",-1,0.8299012056107188
sample_1_real_1,0.5,"1,2",-1,0.7468067837111402
sample_1_real_1,0.5,"1,3",-1,0.7618015073451173
sample_1_real_1,0.5,"1,4",-1,0.7475958984822763
sample_1_real_1,0.5,"1,5",-1,0.7571769040829084
sample_1_real_1,0.5,"1,6",-1,0.7671231727139616
sample_1_real_1,0.5,"2,3",-1,0.8852597596586222
sample_1_real_1,0.5,"2,4",-1,0.7802188505721626
sample_1_real_1,0.5,"2,5",-1,0.8253469273897224
sample_1_real_1,0.5,"2,6",-1,0.8200515756320934
sample_1_real_1,0.5,"3,4",-1,0.8544345566460089
sample_1_real_1,0.5,"3,5",-1,0.8378113232813572
sample_1_real_1,0.5,"3,6",-1,0.8403138548991796
sample_1_real_1,0.5,"4,5",-1,0.84026832553316
sample_1_real_1,0.5,"4,6",-1,0.7827677624689658
sample_1_real_1,0.5,"5,6",-1,0.8317779488111576
sample_1_real_1,0.6,"1,2",-1,0.7533855522565714
sample_1_real_1,0.6,"1,3",-1,0.7680114928581933
sample_1_real_1,0.6,"1,4",-1,0.7517100456134146
sample_1_real_1,0.6,"1,5",-1,0.7606729979478266
sample_1_real_1,0.6,"1,6",-1,0.774475456040872
sample_1_real_1,0.6,"2,3",-1,0.8919949749334717
sample_1_real_1,0.6,"2,4",-1,0.8002942601538
sample_1_real_1,0.6,"2,5",-1,0.8332348246356874
sample_1_real_1,0.6,"2,6",-1,0.8505235957417981
sample_1_real_1,0.6,"3,4",-1,0.8391006179477399
sample_1_real_1,0.6,"3,5",-1,0.8296735709028066
sample_1_real_1,0.6,"3,6",-1,0.8455026668379957
sample_1_real_1,0.6,"4,5",-1,0.7961419332252944
sample_1_real_1,0.6,"4,6",-1,0.7593924982576677
sample_1_real_1,0.6,"5,6",-1,0.812515391858336
sample_1_real_1,0.7,"1,2",-1,0.7537975521217885
sample_1_real_1,0.7,"1,3",-1,0.7749155667347668
sample_1_real_1,0.7,"1,4",-1,0.7404688152055559
sample_1_real_1,0.7,"1,5",-1,0.7630385898703895
sample_1_real_1,0.7,"1,6",-1,0.7597040465354247
sample_1_real_1,0.7,"2,3",-1,0.8847512284473132
sample_1_real_1,0.7,"2,4",-1,0.75516555401065
sample_1_real_1,0.7,"2,5",-1,0.8137166036818327
sample_1_real_1,0.7,"2,6",-1,0.8123590919259691
sample_1_real_1,0.7,"3,4",-1,0.8347071314662943
sample_1_real_1,0.7,"3,5",-1,0.831152876954214
sample_1_real_1,0.7,"3,6",-1,0.8769453158007952
sample_1_real_1,0.7,"4,5",-1,0.8002214667672083
sample_1_real_1,0.7,"4,6",-1,0.808901937385635
sample_1_real_1,0.7,"5,6",-1,0.8297449134798623
sample_1_real_1,0.8,"1,2",-1,0.7570933878926879
sample_1_real_1,0.8,"1,3",-1,0.7562520496720953
sample_1_real_1,0.8,"1,4",-1,0.7245720898189836
sample_1_real_1,0.8,"1,5",-1,0.741000265481706
sample_1_real_1,0.8,"1,6",-1,0.7515477472585361
sample_1_real_1,0.8,"2,3",-1,0.872314624854007
sample_1_real_1,0.8,"2,4",-1,0.8021645353617557
sample_1_real_1,0.8,"2,5",-1,0.8571598376261509
sample_1_real_1,0.8,"2,6",-1,0.8418056626866384
sample_1_real_1,0.8,"3,4",-1,0.8449850128660598
sample_1_real_1,0.8,"3,5",-1,0.8161155801940482
sample_1_real_1,0.8,"3,6",-1,0.8548138748870782
sample_1_real_1,0.8,"4,5",-1,0.809286124089532
sample_1_real_1,0.8,"4,6",-1,0.742787460870914
sample_1_real_1,0.8,"5,6",-1,0.8650173363932768
sample_1_real_1,0.9,"1,2",-1,0.7723836915436644
sample_1_real_1,0.9,"1,3",-1,0.7715984871797665
sample_1_real_1,0.9,"1,4",-1,0.7390006718831442
sample_1_real_1,0.9,"1,5",-1,0.765303849355282
sample_1_real_1,0.9,"1,6",-1,0.7871467137192982
sample_1_real_1,0.9,"2,3",-1,0.8710836341722296
sample_1_real_1,0.9,"2,4",-1,0.8149261210838353
sample_1_real_1,0.9,"2,5",-1,0.852252047214277
sample_1_real_1,0.9,"2,6",-1,0.8629773680037096
sample_1_real_1,0.9,"3,4",-1,0.8407394340435866
